id;account_id;occurred_at;standard_qty;gloss_qty;poster_qty;total;standard_amt_usd;gloss_amt_usd;poster_amt_usd;total_amt_usd
1;1001;2015-10-06T17:31:14.000Z;123;22;24;169;614;165;195;973
2;1001;2015-11-05T03:34:33.000Z;190;41;57;288;948;307;463;1718
3;1001;2015-12-04T04:21:55.000Z;85;47;0;132;424;352;0;776
4;1001;2016-01-02T01:18:24.000Z;144;32;0;176;719;240;0;958
5;1001;2016-02-01T19:27:27.000Z;108;29;28;165;539;217;227;983
6;1001;2016-03-02T15:29:32.000Z;103;24;46;173;514;180;374;1067
7;1001;2016-04-01T11:20:18.000Z;101;33;92;226;504;247;747;1498
8;1001;2016-05-01T15:55:51.000Z;95;47;151;293;474;352;1226;2052
9;1001;2016-05-31T21:22:48.000Z;91;16;22;129;454;120;179;753
10;1001;2016-06-30T12:32:05.000Z;94;46;8;148;469;345;65;879
11;1001;2016-07-30T03:26:30.000Z;101;36;0;137;504;270;0;774
12;1001;2016-08-28T07:13:39.000Z;124;33;39;196;619;247;317;1183
13;1001;2016-09-26T23:28:25.000Z;104;10;44;158;519;75;357;951
14;1001;2016-10-26T20:31:30.000Z;97;143;54;294;484;1071;438;1994
15;1001;2016-11-25T23:21:32.000Z;127;39;44;210;634;292;357;1283
16;1001;2016-12-24T05:53:13.000Z;123;127;19;269;614;951;154;1719
17;1011;2016-12-21T10:59:34.000Z;527;14;0;541;2630;105;0;2735
18;1021;2015-10-12T02:21:56.000Z;516;23;0;539;2575;172;0;2747
19;1021;2015-11-11T07:37:01.000Z;497;61;0;558;2480;457;0;2937
20;1021;2015-12-11T16:53:18.000Z;483;0;21;504;2410;0;171;2581
21;1021;2016-01-10T09:29:45.000Z;535;0;34;569;2670;0;276;2946
22;1021;2016-02-09T00:50:46.000Z;502;4;9;515;2505;30;73;2608
23;1021;2016-03-10T00:38:52.000Z;555;19;4;578;2769;142;32;2944
24;1031;2016-12-25T03:54:27.000Z;1148;0;215;1363;5729;0;1746;7474
25;1041;2016-10-14T23:54:21.000Z;298;28;69;395;1487;210;560;2257
26;1041;2016-11-13T10:11:52.000Z;307;22;0;329;1532;165;0;1697
27;1041;2016-12-12T07:50:01.000Z;157;34;21;212;783;255;171;1209
28;1051;2016-08-02T20:13:27.000Z;505;84;0;589;2520;629;0;3149
29;1051;2016-09-01T05:38:19.000Z;498;35;9;542;2485;262;73;2820
